Date,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Price
2015-06-26,33.8765495659132,26.142840651986216,42.27072594191569,33.8765495659132,33.8765495659132,0.6236308939571593,0.6236308939571593,0.6236308939571593,0.6236308939571593,0.6236308939571593,0.6236308939571593,0.0,0.0,0.0,34.500180459870364
2015-06-29,33.8765495659132,26.173536075611008,42.683600863598436,33.8765495659132,33.8765495659132,0.6263205030661451,0.6263205030661451,0.6263205030661451,0.6263205030661451,0.6263205030661451,0.6263205030661451,0.0,0.0,0.0,34.50287006897935
2015-06-30,33.8765495659132,26.72437346155391,42.88024854536645,33.8765495659132,33.8765495659132,0.6194572582466613,0.6194572582466613,0.6194572582466613,0.6194572582466613,0.6194572582466613,0.6194572582466613,0.0,0.0,0.0,34.49600682415986
2015-07-01,33.8765495659132,26.9096731692027,42.24790134450339,33.8765495659132,33.8765495659132,0.6090671974504389,0.6090671974504389,0.6090671974504389,0.6090671974504389,0.6090671974504389,0.6090671974504389,0.0,0.0,0.0,34.48561676336364
2015-07-02,33.8765495659132,26.027723645577986,42.89779784736638,33.8765495659132,33.8765495659132,0.5954796203785152,0.5954796203785152,0.5954796203785152,0.5954796203785152,0.5954796203785152,0.5954796203785152,0.0,0.0,0.0,34.472029186291714
2015-07-06,33.8765495659132,26.12945400507951,43.00375439200766,33.8765495659132,33.8765495659132,0.5180263064723354,0.5180263064723354,0.5180263064723354,0.5180263064723354,0.5180263064723354,0.5180263064723354,0.0,0.0,0.0,34.39457587238554
2015-07-07,33.8765495659132,26.66544335551354,42.34897857590314,33.8765495659132,33.8765495659132,0.4955447762449546,0.4955447762449546,0.4955447762449546,0.4955447762449546,0.4955447762449546,0.4955447762449546,0.0,0.0,0.0,34.37209434215816
2015-07-08,33.8765495659132,26.282505238849005,42.28520506717341,33.8765495659132,33.8765495659132,0.47299128494257636,0.47299128494257636,0.47299128494257636,0.47299128494257636,0.47299128494257636,0.47299128494257636,0.0,0.0,0.0,34.349540850855774
2015-07-09,33.8765495659132,26.20158305379727,42.371210172059186,33.8765495659132,33.8765495659132,0.4509740313064939,0.4509740313064939,0.4509740313064939,0.4509740313064939,0.4509740313064939,0.4509740313064939,0.0,0.0,0.0,34.327523597219695
2015-07-10,33.8765495659132,26.51784712616405,42.97582293455335,33.8765495659132,33.8765495659132,0.43009136591826375,0.43009136591826375,0.43009136591826375,0.43009136591826375,0.43009136591826375,0.43009136591826375,0.0,0.0,0.0,34.30664093183147
2015-07-13,33.8765495659132,26.046928459571735,42.952442973006505,33.8765495659132,33.8765495659132,0.3798038100917219,0.3798038100917219,0.3798038100917219,0.3798038100917219,0.3798038100917219,0.3798038100917219,0.0,0.0,0.0,34.256353376004924
2015-07-14,33.8765495659132,25.39216788149098,42.57077503928476,33.8765495659132,33.8765495659132,0.36877968250343696,0.36877968250343696,0.36877968250343696,0.36877968250343696,0.36877968250343696,0.36877968250343696,0.0,0.0,0.0,34.24532924841664
2015-07-15,33.8765495659132,26.215486708275296,42.11853618126893,33.8765495659132,33.8765495659132,0.36127724928042154,0.36127724928042154,0.36127724928042154,0.36127724928042154,0.36127724928042154,0.36127724928042154,0.0,0.0,0.0,34.23782681519362
2015-07-16,33.8765495659132,26.076431704126986,42.51879815858042,33.8765495659132,33.8765495659132,0.35757346470863294,0.35757346470863294,0.35757346470863294,0.35757346470863294,0.35757346470863294,0.35757346470863294,0.0,0.0,0.0,34.23412303062184
2015-07-17,33.8765495659132,25.907542535327387,42.462442218885606,33.8765495659132,33.8765495659132,0.35785816607370846,0.35785816607370846,0.35785816607370846,0.35785816607370846,0.35785816607370846,0.35785816607370846,0.0,0.0,0.0,34.23440773198691
2015-07-20,33.8765495659132,26.283701500626158,42.44171987631699,33.8765495659132,33.8765495659132,0.38313905739861587,0.38313905739861587,0.38313905739861587,0.38313905739861587,0.38313905739861587,0.38313905739861587,0.0,0.0,0.0,34.25968862331182
2015-07-21,33.8765495659132,26.209117303458797,42.219864698333375,33.8765495659132,33.8765495659132,0.3993933739882051,0.3993933739882051,0.3993933739882051,0.3993933739882051,0.3993933739882051,0.3993933739882051,0.0,0.0,0.0,34.275942939901405
2015-07-22,33.8765495659132,26.042314729827705,42.49102506655281,33.8765495659132,33.8765495659132,0.41916735336916455,0.41916735336916455,0.41916735336916455,0.41916735336916455,0.41916735336916455,0.41916735336916455,0.0,0.0,0.0,34.29571691928236
2015-07-23,33.8765495659132,25.922011255069904,42.10605454724379,33.8765495659132,33.8765495659132,0.4420906599094897,0.4420906599094897,0.4420906599094897,0.4420906599094897,0.4420906599094897,0.4420906599094897,0.0,0.0,0.0,34.31864022582269
2015-07-24,33.8765495659132,26.136009371171028,42.82113726239362,33.8765495659132,33.8765495659132,0.46771275292011766,0.46771275292011766,0.46771275292011766,0.46771275292011766,0.46771275292011766,0.46771275292011766,0.0,0.0,0.0,34.344262318833316
2015-07-27,33.8765495659132,26.442495837268517,42.375823105977815,33.8765495659132,33.8765495659132,0.5552616986693109,0.5552616986693109,0.5552616986693109,0.5552616986693109,0.5552616986693109,0.5552616986693109,0.0,0.0,0.0,34.431811264582514
2015-07-28,33.8765495659132,26.20349338561756,42.578705055111804,33.8765495659132,33.8765495659132,0.5859137382188584,0.5859137382188584,0.5859137382188584,0.5859137382188584,0.5859137382188584,0.5859137382188584,0.0,0.0,0.0,34.46246330413206
2015-07-29,33.8765495659132,26.26830978597466,42.43394931963019,33.8765495659132,33.8765495659132,0.616171950779757,0.616171950779757,0.616171950779757,0.616171950779757,0.616171950779757,0.616171950779757,0.0,0.0,0.0,34.49272151669296
2015-07-30,33.8765495659132,26.592090200134038,42.97830877866632,33.8765495659132,33.8765495659132,0.645339070543473,0.645339070543473,0.645339070543473,0.645339070543473,0.645339070543473,0.645339070543473,0.0,0.0,0.0,34.52188863645667
2015-07-31,33.8765495659132,26.46804288084682,43.00294461510867,33.8765495659132,33.8765495659132,0.6727244922136332,0.6727244922136332,0.6727244922136332,0.6727244922136332,0.6727244922136332,0.6727244922136332,0.0,0.0,0.0,34.549274058126834
2015-08-03,33.8765495659132,26.888032832284182,42.58763972859807,33.8765495659132,33.8765495659132,0.7376824828983741,0.7376824828983741,0.7376824828983741,0.7376824828983741,0.7376824828983741,0.7376824828983741,0.0,0.0,0.0,34.61423204881157
2015-08-04,33.8765495659132,26.94356761189966,42.25011436960813,33.8765495659132,33.8765495659132,0.7516593813403624,0.7516593813403624,0.7516593813403624,0.7516593813403624,0.7516593813403624,0.7516593813403624,0.0,0.0,0.0,34.62820894725356
